timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751228911509,492,/web/index.php/pim/viewEmployeeList-121,200,OK,TG_performance 1-4,text,true,,3304,873,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,492,0,0
1751228911671,325,click employee list,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-5,,true,,3304,873,5,5,null,0,1070,0
1751228911671,325,/web/index.php/pim/viewEmployeeList-121,200,OK,TG_performance 1-5,text,true,,3304,873,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,325,0,0
1751228912498,379,click employee list,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-2,,true,,3304,873,5,5,null,0,1041,0
1751228912498,379,/web/index.php/pim/viewEmployeeList-121,200,OK,TG_performance 1-2,text,true,,3304,873,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,379,0,0
1751228912022,1321,search employee,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-3,,true,,17562,2547,5,5,null,0,3211,0
1751228912022,622,/web/index.php/api/v2/pim/employees-125,200,OK,TG_performance 1-3,text,true,,14390,864,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,622,0,0
1751228913711,307,/web/index.php/api/v2/pim/employees-132,200,OK,TG_performance 1-3,text,true,,1419,805,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?nameOrId=user391&includeEmployees=onlyCurrent,307,0,0
1751228915076,392,/web/index.php/api/v2/pim/employees-144,200,OK,TG_performance 1-3,text,true,,1753,878,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&empNumber=199&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,392,0,0
1751228912277,1401,search employee,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-1,,true,,17489,2547,5,5,null,0,3066,0
1751228912277,713,/web/index.php/api/v2/pim/employees-125,200,OK,TG_performance 1-1,text,true,,14390,864,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,713,0,0
1751228914016,309,/web/index.php/api/v2/pim/employees-132,200,OK,TG_performance 1-1,text,true,,1419,805,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?nameOrId=user418&includeEmployees=onlyCurrent,309,0,0
1751228915326,379,/web/index.php/api/v2/pim/employees-144,200,OK,TG_performance 1-1,text,true,,1680,878,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&empNumber=200&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,379,0,0
1751228913052,1304,search employee,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-4,,true,,17489,2547,5,5,null,0,3193,0
1751228913052,589,/web/index.php/api/v2/pim/employees-125,200,OK,TG_performance 1-4,text,true,,14390,864,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,589,0,0
1751228914688,333,/web/index.php/api/v2/pim/employees-132,200,OK,TG_performance 1-4,text,true,,1419,805,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?nameOrId=user899&includeEmployees=onlyCurrent,333,0,0
1751228916118,382,/web/index.php/api/v2/pim/employees-144,200,OK,TG_performance 1-4,text,true,,1680,878,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&empNumber=202&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,382,0,0
1751228913066,1319,search employee,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-5,,true,,17564,2547,5,5,null,0,3174,0
1751228913066,580,/web/index.php/api/v2/pim/employees-125,200,OK,TG_performance 1-5,text,true,,14390,864,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,580,0,0
1751228914717,321,/web/index.php/api/v2/pim/employees-132,200,OK,TG_performance 1-5,text,true,,1419,805,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?nameOrId=user787&includeEmployees=onlyCurrent,321,0,0
1751228916082,418,/web/index.php/api/v2/pim/employees-144,200,OK,TG_performance 1-5,text,true,,1755,878,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&empNumber=201&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,418,0,0
1751228913918,1474,search employee,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-2,,true,,17565,2547,5,5,null,0,3092,0
1751228913918,592,/web/index.php/api/v2/pim/employees-125,200,OK,TG_performance 1-2,text,true,,14390,864,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,592,0,0
1751228915532,392,/web/index.php/api/v2/pim/employees-132,200,OK,TG_performance 1-2,text,true,,1419,805,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?nameOrId=user281&includeEmployees=onlyCurrent,392,0,0
1751228916951,490,/web/index.php/api/v2/pim/employees-144,200,OK,TG_performance 1-2,text,true,,1756,878,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&empNumber=203&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,490,0,0
1751228916555,886,click performance,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-3,,true,,5383,1816,5,5,null,0,1054,0
1751228916555,886,/web/index.php/performance/viewPerformanceModule-243,200,OK,TG_performance 1-3,text,true,,5383,1816,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,420,0,0
1751228916555,420,/web/index.php/performance/viewPerformanceModule-243-0,302,Found,TG_performance 1-3,text,true,,2144,903,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceModule,420,0,0
1751228916976,465,/web/index.php/performance/viewPerformanceModule-243-1,200,OK,TG_performance 1-3,text,true,,3239,913,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,465,0,0
1751228916746,881,click performance,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-1,,true,,5383,1816,5,5,null,0,1082,0
1751228916746,881,/web/index.php/performance/viewPerformanceModule-243,200,OK,TG_performance 1-1,text,true,,5383,1816,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,552,0,0
1751228916746,552,/web/index.php/performance/viewPerformanceModule-243-0,302,Found,TG_performance 1-1,text,true,,2144,903,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceModule,552,0,0
1751228917298,329,/web/index.php/performance/viewPerformanceModule-243-1,200,OK,TG_performance 1-1,text,true,,3239,913,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,329,0,0
1751228917561,710,click performance,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-5,,true,,5383,1816,5,5,null,0,1051,0
1751228917561,710,/web/index.php/performance/viewPerformanceModule-243,200,OK,TG_performance 1-5,text,true,,5383,1816,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,374,0,0
1751228917561,374,/web/index.php/performance/viewPerformanceModule-243-0,302,Found,TG_performance 1-5,text,true,,2144,903,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceModule,374,0,0
1751228917935,336,/web/index.php/performance/viewPerformanceModule-243-1,200,OK,TG_performance 1-5,text,true,,3239,913,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,335,0,0
1751228917550,738,click performance,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-4,,true,,5383,1816,5,5,null,0,1076,0
1751228917550,738,/web/index.php/performance/viewPerformanceModule-243,200,OK,TG_performance 1-4,text,true,,5383,1816,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,385,0,0
1751228917550,385,/web/index.php/performance/viewPerformanceModule-243-0,302,Found,TG_performance 1-4,text,true,,2144,903,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceModule,385,0,0
1751228917935,353,/web/index.php/performance/viewPerformanceModule-243-1,200,OK,TG_performance 1-4,text,true,,3239,913,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,353,0,0
1751228918485,653,click performance,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-2,,true,,5383,1816,5,5,null,0,1086,0
1751228918485,653,/web/index.php/performance/viewPerformanceModule-243,200,OK,TG_performance 1-2,text,true,,5383,1816,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,312,0,0
1751228918485,312,/web/index.php/performance/viewPerformanceModule-243-0,302,Found,TG_performance 1-2,text,true,,2144,903,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceModule,312,0,0
1751228918797,341,/web/index.php/performance/viewPerformanceModule-243-1,200,OK,TG_performance 1-2,text,true,,3239,913,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/searchEvaluatePerformanceReview,341,0,0
1751228918495,1196,click performance tracker,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-3,,true,,7628,2631,5,5,null,0,3061,0
1751228918495,350,/web/index.php/performance/viewPerformanceTracker-254,200,OK,TG_performance 1-3,text,true,,3210,893,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceTracker,350,0,0
1751228919861,509,/web/index.php/api/v2/performance/config/trackers-257,200,OK,TG_performance 1-3,text,true,,2999,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&sortField=performanceTracker.modifiedDate&sortOrder=DESC,509,0,0
